album,artist,title
攻め燃える,JABBERLOOP,ソレソレ
我们是五月天,五月天,拥抱
阿密特 A-MIT,张惠妹,梦中做憨人
Ring A Bell,BONNIE PINK,Ring A Bell
憎まれっ子世に憚る,あいみょん,泥だんごの天才いたよね
君はロックを聴かない,あいみょん,君はロックを聴かない（不听摇滚的你）
2017十月动漫新番歌曲合集Vol.3,Kyle?Xian,nano.RIPE - 虚虚実実（食戟之灵?餐之皿/第三季/第餐盘?ED）
おなじ话,ハンバート ハンバート,おなじ话（重复的话）
生きていたんだよな,あいみょん,生きていたんだよな（她曾活过啊）
きみとぼく,ef，96,おなじ話
for,4円,アイロニ
太陽と月の塔,ウルトラタワー,暇な夜、雨が降る（Himanayoru Amegafuru）
帰る場所があるということ,悠木碧,帰る場所があるということ（TV动画《钢琴之森》片尾曲 / TVアニメ「ピアノの森」EDテーマ）
虚虚実実,nano.RIPE,虚虚実実（TV动画《食戟之灵 餐之皿》片尾曲 / TVアニメ「食戟のソーマ 餐ノ皿」EDテーマ）
どんな星空よりも、どんな思い出よりも,結城アイラ,どんな星空よりも、どんな思い出よりも（TV动画《如果有妹妹就好了。》片尾曲 / TVアニメ「妹さえいればいい。」EDテーマ）
どんな星空よりも、どんな思い出よりも,結城アイラ,どんな星空よりも、どんな思い出よりも (Off Vocal)
云烟成雨,房东的猫,云烟成雨（动画《我是江小白》片尾曲）
風の住む街,磯村由纪子,風の住む街（风居住的街道）
2017十月动漫新番歌曲合集Vol.2,Kyle?Xian,結城アイラ - どんな星空よりも、どんな思い出よりも（如果有妹妹就好了。ED）
California 37,Train,50 Ways to Say Goodbye
Stardust,Lena,Better News
认真地老去,张希，曹方,认真地老去
Pythons,Surfer Blood,I Was Wrong
Fifteen Healing Bites,Sting,Shape Of My Heart（电影《这个杀手不太冷》片尾曲）
古.玩,后弦,西厢
复生弥撒,张伯宏,北京土著
心中的日月,王力宏,心中的日月
LaLa首张创作专辑,徐佳莹,身骑白马
If You Feel My Love,Blaxy Girls,If You Feel My Love (Chaow Mix)
Nine Track Mind,Charlie Puth，Selena Gomez,We Don't Talk Anymore
The Fate of the Furious: The Album,G-Eazy，Kehlani,Good Life
Weathered,Angie Miller,This Is the Life
Whistle,Flo Rida,Whistle
认了吧,陈奕迅,淘汰
赵浴辰原创demo精选,赵紫骅,可乐
再也没有,永彬Ryan.B，AY楊佬叁,再也没有
Red,Dia Frampton,Walk Away - Album Version
嘿，抬头！,贰佰,玫瑰
Enchanted,Emma Stevens,A Place Called You
The Runaround,Wild Child,Crazy Bird
心·跳,王力宏,春雨里洗过的太阳
故梦（翻唱）,双笙,故梦（Cover 橙翼）
郭旭的Demo,郭旭,不找了
Ginadoll,AGA,Wonderful U (Demo Version)
Young For You,GALA,Young?For?You
热门华语233,Rocky_滕少,那就这样吧
房间,刘瑞琦,房间
Traveling Light,Joel Hanson,Traveling Light
啷个哩个啷,鹏泊,啷个哩个啷
这个年纪,齐一,这个年纪
Summer Vibe,Walk off the Earth,Summer Vibe
So Beautiful 1,James Blunt,You're Beautiful
Eterno Agosto (Standard Edition),álvaro Soler,La Vida Seguirá
I'd Choose You Again ,Tim McMorris,Be my Valentine
猫の恩返し サウンドトラック,つじあやの,風になる（幻化成风）
梦を味方に/恋焦がれて见た梦,絢香,恋焦がれて见た梦
周杰伦的床边故事,周杰伦,告白气球
Es rappelt im Karton,Pixie Paris,Es rappelt im Karton
Harmonic Hyperbole,Michael Henry，Justin Robinett,If I Die Young
Double Cream 5: 20 Years of Nashville #1's 1992-2012,The Band Perry,If I Die Young
热门华语241,陈粒,走马
Me and My Broken Heart,Rixton,Me and My Broken Heart
Yellow,Coldplay,Yellow
Tricota,Otros Aires,Essa
Time to Say Good Night,Sangit Om,"Aija, Ancit Aija"
Vladimir Cosma: 51 Bandes Originales Pour 51 Films (Volume 2),Vladimir Cosma,Ich liebe dich
Le Fabuleux Destin d'Amélie Poulain,Yann Tiersen,La Valse des Vieux Os
Le Fabuleux Destin d'Amélie Poulain,Yann Tiersen,J'y suis jamais allé
人间四月天,群星,我等候你(手风琴等演奏)
Wermland,Detektivbyr?n,Sista Tryckaren
Mr. Arrow Key,Lena,Mr. Arrow Key
А зори здесь тихие-тихие,Lube,А зори здесь тихие（这里的黎明静悄悄）
Boombal,Yann Tiersen,La Valse D'amelie
Chopin Les Nocturnes,Chopin，Nelson Freire,Nocturne op. 9 no 2 Eb min
Je m'appelle Helene,Hélène Rolles,Je m'appelle Hélène（我的名字叫伊莲）
The Show,Lenka,The Show
Nino Rota,Richard Galliano，John Surman，Boris Kozlov，Clarence Penn，Dave Douglas,Rota: The Godfather - Love Theme
Давай за…,Lube,"Ты неси меня, река (Краса)"
Der Rebell,Hannes Wader,Die Internationale
