album,artist,title
Once Upon a Time in the West,Ennio Morricone,Farewell to Cheyenne
算云烟,谢春花,我从崖边跌落
『ヨスガノソラ』オリジナルサウンドトラック-New-,三輪学,Old Memory
起风了,买辣椒也用券,起风了
12 Stories,岸部眞明,Time travel
The Last Emperor,坂本龍一,Where Is Armo?
庆幸拥有蔡淳佳,蔡淳佳,依恋
Please Don't Go,Joel Adams,Please Don't Go
Psycho (Pt. 2),Russ,Psycho (Pt. 2)
for,4円,アイロニ
猫の恩返し サウンドトラック,つじあやの,風になる（幻化成风）
Take Me To Church,Hozier,Take Me To Church
Mothership,Led Zeppelin,Immigrant Song (2007 Remastered Version)
映画“歩いても 歩いても”サウンドトラック,ゴンチチ,歩いても 歩いても（步履不停）
very best of gut years 1994-1997,坂本龍一,Merry Christmas Mr.Lawrence
生きていたんだよな,あいみょん,生きていたんだよな（她曾活过啊）
La La Land (Original Motion Picture Soundtrack),Ryan Gosling，Emma Stone,"City Of Stars - From ""La La Land"" Soundtrack"
研ナオコ ベスト・コレクション,研ナオコ,ひとり上手
丑奴儿,草东没有派对,Intro
丑奴儿,草东没有派对,丑
丑奴儿,草东没有派对,烂泥
丑奴儿,草东没有派对,勇敢的人
丑奴儿,草东没有派对,大风吹
丑奴儿,草东没有派对,埃玛
丑奴儿,草东没有派对,等
丑奴儿,草东没有派对,鬼
丑奴儿,草东没有派对,在
丑奴儿,草东没有派对,山海
丑奴儿,草东没有派对,我们
丑奴儿,草东没有派对,情歌
Dance Kids 2015,Fly Project,Toca Toca
僕が死のうと思ったのは,中島美嘉,僕が死のうと思ったのは（曾经我也想过一了百了）
極彩色,Reol,ラ・タタン
房间,刘瑞琦,房间
我喜欢上你时的内心活动,陈绮贞,我喜欢上你时的内心活动（电影《喜欢你》主题曲）
Movie 930,Bertie Higgins,Casablanca
Before Dawn,Various Artists,The sound of silence
The Paul Simon Songbook,Paul Simon,Sound of Silence
父亲写的散文诗,许飞,父亲写的散文诗
Contrast,majiko,アイロニ
我想和你虚度时光,程璧，莫西子诗,我想和你虚度时光
我愚蠢的理想主义,阿肆,我愚蠢的理想主义
说散就散,JC陈泳彤,说散就散
"Guardians of the Galaxy: Awesome Mix, Vol. 2 (Original Motion Picture Soundtrack)",Fleetwood Mac,The Chain
カイコ,RADWIMPS,カイコ
我的一个道姑朋友,以冬,我的一个道姑朋友（cover タイナカ 彩智）（Cover Lon）
去你的撩妹即正义,阿肆,去你的撩妹即正义
212,nameless,ツギハギスタッカート
啷个哩个啷,鹏泊,啷个哩个啷
恋恋风歌,つじあやの,风になる（幻化成风）
橙,RAiNBOW计划，雷雨心,记念
Unbelievable,Owl City，Hanson,Unbelievable
きみとぼく,ef，96,おなじ話
最新热歌慢摇69,森冬,Dried Out
吉姆餐厅,赵雷,少年锦时
Sofia,Álvaro Soler,Sofía
Slo,Slo,Nothing Hurts Like This
Parallel Universe - tribute to JimmythumbP -,新社会人,Parallel Universe
最新热歌慢摇66,GUMI,流★群Meteor Stream
鱼干铺里,刘昊霖,儿时
惠威T200A试音碟,Eagles,Hotel California（加州旅馆）
EXIT TUNES PRESENTS 神曲を歌ってみた 3,ナノウ，鹿乃,ハロ/ハワユ
for,4円,文学少年の憂鬱
最新热歌慢摇116,花澤香菜，釘宮理恵,恋愛サーキュレーション - 双声道版
 热门华语281,封茗囧菌,东京不太热
2017（一）,花粥,遥不可及的你
Jewelry Box,T-ara,Lovey-Dovey (Japanese Version)
Domino Remix EP,Jessie J,Domino
恋,星野源,恋（日剧《逃避虽可耻但有用》主题曲 / ドラマ『逃げるは恥だが役に立つ』主題歌）
君の名は,RADWIMPS,前前前世 (movie ver.)（动画电影《你的名字。》主题曲）
Sky,Steerner，Martell,Sky (Radio Edit)
脳症炸裂ガール,れるりり,脳浆炸裂ガール
回レ! 雪月花,原田ひとみ，茅野愛衣，小倉唯,回レ! 雪月花（TV动画《機巧少女は傷つかない》片尾曲 / TVアニメ「機巧少女は傷つかない」EDテーマ）
Break Your Heart,Taio Cruz,Break Your Heart
Hello,OMFG,Hello
Freaks,Timmy Trumpet，Savage,Freaks (Radio Edit)
最新热歌慢摇108,釘宮理恵,好想被钉宫辱骂啊
Jubeat O.S.T,Mutsuhiko Izumi,天国と地狱
心做し,まじ娘,心做し
农业重金属,阿宝，山花乐队,农业重金属
妖狐×僕SS ENDING SONG Vol.3,花澤香菜,sweets parade
我愚蠢的理想主义,阿肆，林宥嘉,致姗姗来迟的你 
Seve,Tez Cadey,Seve
Into The Deep Vol.02,Mark Pride,River Flows In You (Original Mix)
Absolute Romance,Yiruma,River Flows in You
YOUR LEGEND～燃ゆる命～,五月天,星空
初学者,薛之谦,刚刚好
Nine Track Mind,Charlie Puth，Selena Gomez,We Don't Talk Anymore
海龟先生,海龟先生,男孩别哭
天使与魔鬼的对话,蔡健雅,被驯服的象
北京东路的日子,刘千楚，徐逸昊，鲁天舒，姜玮珉，胡梦原，张鎏依，梁竞元，游彧涵，金书援，许一璇，汪源，张夙西,北京东路的日子
一意専心,伊東歌詞太郎,メランコリック
ageha (通常盤),w-inds.,四季
